date,PM2.5,PM10,AQI (PM2.5),AQI (PM10)
2021-01-23T21:51:54.085604,2.2,3.1,9,3
2021-01-23T21:52:55.496665,2.3,4.4,10,4
2021-01-23T21:53:56.807974,2.7,3.9,11,3
2021-01-23T21:54:58.095756,2.4,4.7,10,4
2021-01-23T21:55:59.412191,2.5,3.5,10,3
2021-01-23T21:57:00.728347,2.6,4.0,11,4
2021-01-23T21:58:02.041397,3.7,5.3,15,5
2021-01-23T21:59:03.359908,4.5,6.5,19,6
2021-01-23T22:00:04.677625,6.3,10.8,26,9
2021-01-23T22:01:06.092734,5.7,9.1,24,8
2021-01-23T22:02:07.497882,5.5,8.8,23,7
2021-01-23T22:03:08.809200,5.5,10.6,23,9
2021-01-23T22:04:10.124251,5.7,8.8,24,7
2021-01-23T22:05:11.427411,6.8,11.7,28,10
2021-01-23T22:06:12.743199,5.9,9.8,25,8
2021-01-23T22:07:14.058714,6.5,9.3,27,8
2021-01-23T22:08:15.370587,6.3,12.4,26,11
2021-01-23T22:09:16.680970,5.5,8.1,23,7
2021-01-23T22:10:17.989549,6.0,13.4,25,12
2021-01-23T22:11:19.306059,5.1,8.1,21,7
2021-01-23T22:12:20.620406,4.9,7.9,20,6
2021-01-23T22:13:21.929497,5.1,8.2,21,7
2021-01-23T22:14:23.244886,5.1,8.4,21,7
2021-01-23T22:15:24.560293,5.7,8.4,24,7
2021-01-23T22:16:25.875585,5.3,10.0,22,9
2021-01-23T22:17:27.190726,5.1,8.5,21,7
2021-01-23T22:18:28.501070,5.5,8.3,23,7
2021-01-23T22:19:29.817759,5.8,10.2,24,9
2021-01-23T22:20:31.111567,6.2,11.0,26,10
2021-01-23T22:21:32.420707,4.4,8.1,18,7
2021-01-23T22:22:33.737293,4.3,8.3,18,7
2021-01-23T22:23:35.052462,5.0,7.7,21,6
2021-01-23T22:24:36.370124,5.3,8.2,22,7
2021-01-23T22:25:37.686632,4.6,8.6,19,7
2021-01-23T22:26:39.000412,6.1,10.4,25,9
2021-01-23T22:27:40.315494,4.2,8.6,18,7
2021-01-23T22:28:41.633318,5.5,8.4,23,7
2021-01-23T22:29:42.942174,4.1,7.0,17,6
2021-01-23T22:30:44.258582,5.0,7.2,21,6
2021-01-23T22:31:45.550120,3.3,5.4,14,5
2021-01-23T22:32:46.864232,3.6,7.1,15,6
2021-01-23T22:33:48.184277,4.3,6.5,18,6
2021-01-23T22:34:49.502013,3.8,5.7,16,5
2021-01-23T22:35:50.812006,4.3,7.0,18,6
2021-01-23T22:36:52.121095,4.6,7.2,19,6
2021-01-23T22:37:53.431203,4.2,5.8,18,5
2021-01-23T22:38:54.746334,4.1,6.2,17,6
2021-01-23T22:39:56.060551,4.4,6.6,18,6
2021-01-23T22:40:57.375690,4.3,8.0,18,7
2021-01-23T22:41:58.789867,4.5,7.1,19,6
2021-01-23T22:43:00.184957,4.4,6.9,18,6
2021-01-23T22:44:01.597889,4.6,7.2,19,6
2021-01-23T22:45:02.914072,3.6,6.0,15,6
2021-01-23T22:46:04.229324,4.1,7.0,17,6
2021-01-23T22:47:05.534594,3.8,6.2,16,6
